Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
add,ad
sensor,censor
hey,hay
yeah,yea
to,too
echo,ecco
boolean,bullion
config,can fig
brollin,brawling
the,de
learned,Learned
lichess,leaches
lichess,Le chess
for thought,forethought
sprite,spright
piece,peace
svg,civic
