Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
add,ad
sensor,censor
hey,hay
yeah,yea
to,too
echo,ecco
boolean,bullion
config,can fig
brollin,brawling
the,de
learned,Learned
lichess,leaches
lichess,leeches
lichess,leches
lichess,Le chess
for thought,forethought
sprite,spright
piece,peace
svg,civic
Gauri,gary
some,som
cache,cash
cached,cashed
caching,cashing
close,clothes
flex,flux
or,o'er
flare,flair
flares,flairs
saml,samel
https://,hat tops
http://,hat top
ark,arc
okta,octa
append,upend
mana,manna
mouse,mous
align,aline
Oscar,oskar
the,thee
console,consul
console,consol
melee,mealy
sync,sink
syncs,sinks
oh yeah,oye
jira,gera
OUs,ous
OUs,ouse
OU,ou
OU,oh you
OU,owe you
sub-OUs,sub OUs
rows,rose
Thibault,Tebow
yaml,Yamal
specs,specks
spec,speck
typing,taping
sporc,spork
dict,dicked
gui,gooey
gui,goy
async,acing
graph,graf
depth,depths
donut,doughnut
json,Jason
use,us
the,da
boolean,bullying
route,rout
wrapper,rapper
